y	x
-34310,9133066073	-20,5631440729282
-22875,64452303	-17,0910019945403
-9411,4823976714	-13,9805015624901
-12500,4961248929	-13,1044877568718
7962,89757980405	-9,81686516700226
-8422,78313506432	-8,10967325470599
3023,3726421106	-7,30390946689485
-3798,04768875213	-7,1202657990727
-571,291573146083	-4,60949103639318
3124,25835084053	-3,87307224398069
4502,39730991882	-2,73602368257561
-2424,190513228	1,8543875241641
13814,5473129952	3,18890283137167
2068,84850956859	4,48342158447809
-3578,25605959901	8,58730693391463
-1183,26341772103	11,2695555389855
14511,4217617425	11,324522027016
18590,6736645535	13,5398748333664
13540,8938989303	13,6104836785966
32851,5689043829	17,5006672152305
48680,1947910492	20,7252933879585
